gene_name	uniprot_id	uniprot_len	mane_uniprot_id	mane_uniprot_len	accession_agrees	mane_refseq_nuc	mane_refseq_prot	mane_ensembl	mane_prot_len	numbering_ok
MCF2L	O15068	1137	O15068	1137	TRUE	NM_001112732.3	NP_001106203.2	ENST00000535094.7	1125	FALSE
MECP2	P51608	486	P51608	486	TRUE	NM_001110792.2	NP_001104262.1	ENST00000453960.7	498	FALSE
PHC3	Q8NDX5	983	Q8NDX5	983	TRUE	NM_024947.4	NP_079223.3	ENST00000495893.7	995	FALSE
PRELID2	Q8N945	189	Q8N945	189	TRUE	NM_205846.3	NP_995318.1	ENST00000683046.1	177	FALSE
SETDB2	Q96T68	719	Q96T68	719	TRUE	NM_001160308.3	NP_001153780.1	ENST00000611815.2	707	FALSE
SHOX2	O60902	331	O60902	331	TRUE	NM_001163678.2	NP_001157150.1	ENST00000483851.7	319	FALSE
STK24	Q9Y6E0	443	Q9Y6E0	443	TRUE	NM_001032296.4	NP_001027467.2	ENST00000539966.6	431	FALSE
TMEM130	Q8N3G9	435	Q8N3G9	435	TRUE	NM_152913.3	NP_690877.1	ENST00000339375.9	423	FALSE
TRIM36	Q9NQ86	728	Q9NQ86	728	TRUE	NM_001300759.2	NP_001287688.1	ENST00000513154.6	716	FALSE
XRN1	Q8IZH2	1706	Q8IZH2	1706	TRUE	NM_001282857.2	NP_001269786.1	ENST00000392981.7	1694	FALSE
ZNF548	Q8NEK5	533	Q8NEK5	533	TRUE	NM_001172773.2	NP_001166244.1	ENST00000336128.12	545	FALSE
ZNF721	Q8TF20	911	Q8TF20	911	TRUE	NM_133474.4	NP_597731.2	ENST00000511833.3	923	FALSE
CACNA1F	O60840	1977	O60840	1977	TRUE	NM_001256789.3	NP_001243718.1	ENST00000323022.10	1966	FALSE
CAMK2A	Q9UQM7	478	Q9UQM7	478	TRUE	NM_015981.4	NP_057065.2	ENST00000671881.1	489	FALSE
CAMSAP2	Q08AD1	1489	Q08AD1	1489	TRUE	NM_203459.4	NP_982284.1	ENST00000358823.7	1478	FALSE
CCNJ	Q5T5M9	372	Q5T5M9	372	TRUE	NM_001134375.2	NP_001127847.1	ENST00000465148.3	383	FALSE
CDKN1C	P49918	316	P49918	316	TRUE	NM_001122630.2	NP_001116102.1	ENST00000440480.8	305	FALSE
CTBP1	Q13363	440	Q13363	440	TRUE	NM_001012614.2	NP_001012632.1	ENST00000382952.8	429	FALSE
DLG1	Q12959	904	Q12959	904	TRUE	NM_001366207.1	NP_001353136.1	ENST00000667157.1	893	FALSE
EPSTI1	Q96J88	318	Q96J88	318	TRUE	NM_033255.5	NP_150280.1	ENST00000313624.12	307	FALSE
ERCC6L2	Q5T890	1561	Q5T890	1561	TRUE	NM_020207.7	NP_064592.3	ENST00000653738.2	1550	FALSE
EVI5L	Q96CN4	794	Q96CN4	794	TRUE	NM_001159944.3	NP_001153416.1	ENST00000538904.7	805	FALSE
FGF8	P55075	233	P55075	233	TRUE	NM_033163.5	NP_149353.1	ENST00000320185.7	244	FALSE
GEMIN2	O14893	280	O14893	280	TRUE	NM_003616.3	NP_003607.2	ENST00000308317.12	269	FALSE
HOMER2	Q9NSB8	354	Q9NSB8	354	TRUE	NM_004839.4	NP_004830.2	ENST00000450735.7	343	FALSE
KCNIP1	Q9NZI2	227	Q9NZI2	227	TRUE	NM_014592.4	NP_055407.1	ENST00000328939.9	216	FALSE
MRTFB	Q9ULH7	1088	Q9ULH7	1088	TRUE	NM_001308142.2	NP_001295071.1	ENST00000571589.6	1099	FALSE
PHACTR2	O75167	634	O75167	634	TRUE	NM_001100164.2	NP_001093634.1	ENST00000440869.7	645	FALSE
PNLDC1	Q8NA58	520	Q8NA58	520	TRUE	NM_001271862.2	NP_001258791.1	ENST00000392167.4	531	FALSE
PSG6	Q00889	435	Q00889	435	TRUE	NM_001031850.4	NP_001027020.1	ENST00000187910.7	424	FALSE
PTTG2	Q9NZH5	202	Q9NZH5	202	TRUE	NM_006607.3	NP_006598.2	ENST00000504686.2	191	FALSE
RAD17	O75943	681	O75943	681	TRUE	NM_133338.3	NP_579916.1	ENST00000354868.10	670	FALSE
RORB	Q92753	470	Q92753	470	TRUE	NM_006914.4	NP_008845.2	ENST00000376896.8	459	FALSE
SNX13	Q9Y5W8	968	Q9Y5W8	968	TRUE	NM_015132.5	NP_055947.1	ENST00000428135.7	957	FALSE
SRPK2	P78362	688	P78362	688	TRUE	NM_182692.3	NP_872634.1	ENST00000393651.8	699	FALSE
TNNT3	P45378	269	P45378	269	TRUE	NM_006757.4	NP_006748.1	ENST00000278317.11	258	FALSE
UPF1	Q92900	1129	Q92900	1129	TRUE	NM_002911.4	NP_002902.2	ENST00000262803.10	1118	FALSE
VPS39	Q96JC1	886	Q96JC1	886	TRUE	NM_015289.5	NP_056104.2	ENST00000318006.10	875	FALSE
WDR35	Q9P2L0	1181	Q9P2L0	1181	TRUE	NM_020779.4	NP_065830.2	ENST00000281405.9	1170	FALSE
ZNF615	Q8N8J6	731	Q8N8J6	731	TRUE	NM_001199324.2	NP_001186253.1	ENST00000598071.6	742	FALSE
ACOT7	O00154	380	O00154	380	TRUE	NM_007274.4	NP_009205.3	ENST00000361521.9	370	FALSE
BEX3	Q00994	111	Q00994	111	TRUE	NM_206917.3	NP_996800.1	ENST00000361298.9	101	FALSE
DAAM1	Q9Y4D1	1078	Q9Y4D1	1078	TRUE	NM_001270520.2	NP_001257449.1	ENST00000360909.8	1068	FALSE
ELF5	Q9UKW6	265	Q9UKW6	265	TRUE	NM_001422.4	NP_001413.1	ENST00000257832.7	255	FALSE
ESRP2	Q9H6T0	727	Q9H6T0	727	TRUE	NM_024939.3	NP_079215.2	ENST00000473183.7	717	FALSE
FBXO9	Q9UK97	447	Q9UK97	447	TRUE	NM_033480.3	NP_258441.1	ENST00000323557.12	437	FALSE
GMEB1	Q9Y692	573	Q9Y692	573	TRUE	NM_001319674.2	NP_001306603.1	ENST00000373816.6	563	FALSE
JAKMIP2	Q96AA8	810	Q96AA8	810	TRUE	NM_001270941.2	NP_001257870.1	ENST00000616793.5	820	FALSE
LHX8	Q68G74	356	Q68G74	356	TRUE	NM_001256114.2	NP_001243043.1	ENST00000356261.4	346	FALSE
NR1H4	Q96RI1	486	Q96RI1	486	TRUE	NM_001206979.2	NP_001193908.1	ENST00000392986.8	476	FALSE
OSCP1	Q8WVF1	389	Q8WVF1	389	TRUE	NM_145047.5	NP_659484.4	ENST00000235532.9	379	FALSE
PIMREG	Q9BSJ6	248	Q9BSJ6	248	TRUE	NM_019013.3	NP_061886.2	ENST00000572447.6	238	FALSE
PLAAT5	Q96KN8	279	Q96KN8	279	TRUE	NM_001146729.2	NP_001140201.2	ENST00000540857.6	269	FALSE
PTPRU	Q92729	1446	Q92729	1446	TRUE	NM_133178.4	NP_573439.2	ENST00000373779.8	1436	FALSE
STEAP3	Q658P3	488	Q658P3	488	TRUE	NM_182915.3	NP_878919.2	ENST00000393110.7	498	FALSE
TSSK4	Q6SA08	328	Q6SA08	328	TRUE	NM_001184739.2	NP_001171668.1	ENST00000339917.10	338	FALSE
ACBD5	Q5T8D3	534	Q5T8D3	534	TRUE	NM_145698.5	NP_663736.2	ENST00000396271.8	525	FALSE
ACOT9	Q9Y305	439	Q9Y305	439	TRUE	NM_001037171.2	NP_001032248.1	ENST00000379303.10	448	FALSE
ARL4C	P56559	192	P56559	192	TRUE	NM_001282431.2	NP_001269360.1	ENST00000339728.6	201	FALSE
ASB12	Q8WXK4	309	Q8WXK4	309	TRUE	NM_130388.4	NP_569059.3	ENST00000362002.3	318	FALSE
CBFA2T2	O43439	604	O43439	604	TRUE	NM_001032999.3	NP_001028171.1	ENST00000342704.11	595	FALSE
CD200	P41217	278	P41217	278	TRUE	NM_005944.7	NP_005935.4	ENST00000315711.12	269	FALSE
CPSF7	Q8N684	471	Q8N684	471	TRUE	NM_001142565.3	NP_001136037.1	ENST00000439958.8	462	FALSE
DOCK4	Q8N1I0	1966	Q8N1I0	1966	TRUE	NM_001363540.2	NP_001350469.1	ENST00000428084.6	1975	FALSE
DYRK1A	Q13627	763	Q13627	763	TRUE	NM_001347721.2	NP_001334650.1	ENST00000647188.2	754	FALSE
FAM168A	Q92567	244	Q92567	244	TRUE	NM_015159.3	NP_055974.1	ENST00000356467.5	235	FALSE
FBXO25	Q8TCJ0	367	Q8TCJ0	367	TRUE	NM_183420.2	NP_904356.1	ENST00000350302.8	358	FALSE
GARIN1A	Q6NXP2	309	Q6NXP2	309	TRUE	NM_001128926.4	NP_001122398.1	ENST00000682356.1	300	FALSE
KCNC4	Q03721	635	Q03721	635	TRUE	NM_001039574.3	NP_001034663.1	ENST00000438661.3	626	FALSE
MECOM	Q03112	1230	Q03112	1230	TRUE	NM_004991.4	NP_004982.2	ENST00000651503.2	1239	FALSE
MYO6	Q9UM54	1294	Q9UM54	1294	TRUE	NM_004999.4	NP_004990.3	ENST00000369977.8	1285	FALSE
NELFCD	Q8IXH7	590	Q8IXH7	590	TRUE	NM_198976.4	NP_945327.3	ENST00000652272.2	581	FALSE
PER3	P56645	1201	P56645	1201	TRUE	NM_001377275.1	NP_001364204.1	ENST00000377532.8	1210	FALSE
PRDM10	Q9NQV6	1147	Q9NQV6	1147	TRUE	NM_199437.2	NP_955469.1	ENST00000360871.8	1156	FALSE
SNRPB	P14678	240	P14678	240	TRUE	NM_003091.4	NP_003082.1	ENST00000381342.7	231	FALSE
TMPRSS6	Q8IU80	811	Q8IU80	811	TRUE	NM_001374504.1	NP_001361433.1	ENST00000676104.1	802	FALSE
TRAF3IP2	O43734	574	O43734	574	TRUE	NM_147686.4	NP_679211.2	ENST00000368761.11	565	FALSE
ZBTB18	Q99592	522	Q99592	522	TRUE	NM_205768.3	NP_991331.1	ENST00000358704.4	531	FALSE
A1CF	Q9NQ94	594	Q9NQ94	594	TRUE	NM_014576.4	NP_055391.2	ENST00000373997.8	586	FALSE
AFF1	P51825	1210	P51825	1210	TRUE	NM_001166693.3	NP_001160165.1	ENST00000395146.9	1218	FALSE
ASTN1	O14525	1302	O14525	1302	TRUE	NM_004319.3	NP_004310.1	ENST00000361833.7	1294	FALSE
EGFLAM	Q63HQ2	1017	Q63HQ2	1017	TRUE	NM_152403.4	NP_689616.2	ENST00000322350.10	1009	FALSE
EML5	Q05BV3	1969	Q05BV3	1969	TRUE	NM_183387.3	NP_899243.1	ENST00000554922.6	1977	FALSE
GLRA1	P23415	457	P23415	457	TRUE	NM_000171.4	NP_000162.2	ENST00000274576.9	449	FALSE
HAGHL	Q6PII5	290	Q6PII5	290	TRUE	NM_032304.4	NP_115680.1	ENST00000389703.8	282	FALSE
HERC4	Q5GLZ8	1057	Q5GLZ8	1057	TRUE	NM_015601.4	NP_056416.2	ENST00000373700.9	1049	FALSE
IRAG1	Q9Y6F6	904	Q9Y6F6	904	TRUE	NM_130385.4	NP_569056.4	ENST00000423302.7	912	FALSE
LAYN	Q6UX15	382	Q6UX15	382	TRUE	NM_178834.5	NP_849156.1	ENST00000375614.7	374	FALSE
ODF2L	Q9ULJ1	636	Q9ULJ1	636	TRUE	NM_001366781.1	NP_001353710.1	ENST00000460698.7	644	FALSE
OTX2	P32243	289	P32243	289	TRUE	NM_021728.4	NP_068374.1	ENST00000672264.2	297	FALSE
RAB5IF	Q9BUV8	137	Q9BUV8	137	TRUE	NM_018840.5	NP_061328.1	ENST00000344795.8	129	FALSE
RNF111	Q6ZNA4	994	Q6ZNA4	994	TRUE	NM_017610.8	NP_060080.6	ENST00000348370.9	986	FALSE
RPUSD3	Q6P087	351	Q6P087	351	TRUE	NM_173659.5	NP_775930.3	ENST00000383820.10	343	FALSE
USP42	Q9H9J4	1324	Q9H9J4	1324	TRUE	NM_032172.3	NP_115548.1	ENST00000306177.10	1316	FALSE
ABCB4	P21439	1286	P21439	1286	TRUE	NM_000443.4	NP_000434.1	ENST00000649586.2	1279	FALSE
ADCK1	Q86TW2	530	Q86TW2	530	TRUE	NM_020421.4	NP_065154.2	ENST00000238561.10	523	FALSE
ADH6	P28332	368	P28332	368	TRUE	NM_001102470.2	NP_001095940.1	ENST00000394899.6	375	FALSE
ALG9	Q9H6U8	611	Q9H6U8	611	TRUE	NM_024740.2	NP_079016.2	ENST00000616540.5	618	FALSE
ATP2A1	O14983	1001	O14983	1001	TRUE	NM_004320.6	NP_004311.1	ENST00000395503.9	994	FALSE
CACNA2D2	Q9NY47	1150	Q9NY47	1150	TRUE	NM_006030.4	NP_006021.2	ENST00000424201.7	1143	FALSE
CNKSR1	Q969H4	720	Q969H4	720	TRUE	NM_006314.3	NP_006305.2	ENST00000361530.11	713	FALSE
FBXO21	O94952	628	O94952	628	TRUE	NM_015002.3	NP_055817.1	ENST00000622495.5	621	FALSE
FIBP	O43427	364	O43427	364	TRUE	NM_004214.5	NP_004205.2	ENST00000357519.9	357	FALSE
GNRH2	O43555	120	O43555	120	TRUE	NM_178331.2	NP_847901.1	ENST00000359100.6	113	FALSE
IL36B	Q9NZH7	164	Q9NZH7	164	TRUE	NM_173178.3	NP_775270.1	ENST00000327407.2	157	FALSE
KIFC3	Q9BVG8	833	Q9BVG8	833	TRUE	NM_001130100.2	NP_001123572.1	ENST00000445690.7	826	FALSE
KRTAP6-3	Q3LI67	110	Q3LI67	110	TRUE	NM_001433434.1	NP_001420363.1	ENST00000391624.2	103	FALSE
MSRB3	Q8IXL7	192	Q8IXL7	192	TRUE	NM_001031679.3	NP_001026849.1	ENST00000308259.10	185	FALSE
OPCML	Q14982	345	Q14982	345	TRUE	NM_001012393.5	NP_001012393.1	ENST00000524381.6	338	FALSE
OTUD7A	Q8TE49	926	Q8TE49	926	TRUE	NM_001382637.1	NP_001369566.1	ENST00000307050.6	933	FALSE
PITX2	Q99697	317	Q99697	317	TRUE	NM_000325.6	NP_000316.2	ENST00000644743.1	324	FALSE
PPP6R2	O75170	966	O75170	966	TRUE	NM_001242898.2	NP_001229827.1	ENST00000612753.5	959	FALSE
RARB	P10826	455	P10826	455	TRUE	NM_000965.5	NP_000956.2	ENST00000330688.9	448	FALSE
SEPTIN6	Q14141	434	Q14141	434	TRUE	NM_145799.4	NP_665798.1	ENST00000394610.7	427	FALSE
SLC11A2	P49281	568	P49281	568	TRUE	NM_000617.3	NP_000608.1	ENST00000262052.9	561	FALSE
SLC39A11	Q8N1S5	342	Q8N1S5	342	TRUE	NM_139177.4	NP_631916.2	ENST00000255559.8	335	FALSE
TENM1	Q9UKZ4	2725	Q9UKZ4	2725	TRUE	NM_001163278.2	NP_001156750.1	ENST00000422452.4	2732	FALSE
ZNF557	Q8N988	423	Q8N988	423	TRUE	NM_024341.3	NP_077317.2	ENST00000252840.11	430	FALSE
ADGRG1	Q9Y653	693	Q9Y653	693	TRUE	NM_201525.4	NP_958933.1	ENST00000562631.7	687	FALSE
BRPF1	P55201	1214	P55201	1214	TRUE	NM_001003694.2	NP_001003694.1	ENST00000383829.7	1220	FALSE
C9orf153	Q5TBE3	101	Q5TBE3	101	TRUE	NM_001276366.4	NP_001263295.1	ENST00000339137.7	95	FALSE
CC2D1B	Q5T0F9	858	Q5T0F9	858	TRUE	NM_001330585.2	NP_001317514.1	ENST00000284376.8	852	FALSE
COL4A5	P29400	1685	P29400	1685	TRUE	NM_033380.3	NP_203699.1	ENST00000328300.11	1691	FALSE
DNM3	Q9UQ16	869	Q9UQ16	869	TRUE	NM_015569.5	NP_056384.2	ENST00000627582.3	863	FALSE
ECHDC1	Q9NTX5	307	Q9NTX5	307	TRUE	NM_001002030.2	NP_001002030.1	ENST00000454859.8	301	FALSE
ECPAS	Q5VYK3	1845	Q5VYK3	1845	TRUE	NM_001364929.1	NP_001351858.1	ENST00000684092.1	1839	FALSE
FMNL2	Q96PY5	1086	Q96PY5	1086	TRUE	NM_052905.4	NP_443137.2	ENST00000288670.14	1092	FALSE
FOXA2	Q9Y261	457	Q9Y261	457	TRUE	NM_021784.5	NP_068556.2	ENST00000419308.7	463	FALSE
GPAT2	Q6NUI2	795	Q6NUI2	795	TRUE	NM_001321527.2	NP_001308456.1	ENST00000434632.6	801	FALSE
H2BW1	Q7Z2G1	153	Q7Z2G1	153	TRUE	NM_001002916.5	NP_001002916.4	ENST00000217926.7	147	FALSE
H2BW2	P0C1H6	154	P0C1H6	154	TRUE	NM_001388464.1	NP_001375393.1	ENST00000675318.3	148	FALSE
KLRG1	Q96E93	195	Q96E93	195	TRUE	NM_005810.4	NP_005801.3	ENST00000356986.8	189	FALSE
MAPKBP1	O60336	1514	O60336	1514	TRUE	NM_014994.3	NP_055809.2	ENST00000457542.7	1508	FALSE
MBD4	O95243	580	O95243	580	TRUE	NM_001276270.2	NP_001263199.1	ENST00000429544.7	574	FALSE
MBNL1	Q9NR56	388	Q9NR56	388	TRUE	NM_021038.5	NP_066368.2	ENST00000324210.10	382	FALSE
MDM2	Q00987	491	Q00987	491	TRUE	NM_002392.6	NP_002383.2	ENST00000258149.11	497	FALSE
PDE1A	P54750	535	P54750	535	TRUE	NM_001363871.4	NP_001350800.1	ENST00000409365.6	529	FALSE
PIANP	Q8IYJ0	282	Q8IYJ0	282	TRUE	NM_001244014.2	NP_001230943.1	ENST00000534837.6	276	FALSE
PPFIBP1	Q86W92	1011	Q86W92	1011	TRUE	NM_003622.4	NP_003613.4	ENST00000228425.11	1005	FALSE
PSMA8	Q8TAA3	256	Q8TAA3	256	TRUE	NM_001025096.2	NP_001020267.1	ENST00000415576.7	250	FALSE
SFTPC	P11686	197	P11686	197	TRUE	NM_001317778.2	NP_001304707.1	ENST00000679463.1	191	FALSE
SLC8A3	P57103	927	P57103	927	TRUE	NM_182932.3	NP_891977.1	ENST00000356921.7	921	FALSE
SP100	P23497	879	P23497	879	TRUE	NM_001080391.2	NP_001073860.1	ENST00000340126.9	885	FALSE
TAC4	Q86UU9	113	Q86UU9	113	TRUE	NM_001077506.2	NP_001070974.1	ENST00000436235.6	107	FALSE
TNFRSF19	Q9NS68	423	Q9NS68	423	TRUE	NM_148957.4	NP_683760.1	ENST00000248484.9	417	FALSE
TP53BP2	Q13625	1128	Q13625	1128	TRUE	NM_001031685.3	NP_001026855.2	ENST00000343537.12	1134	FALSE
VGLL4	Q14135	290	Q14135	290	TRUE	NM_001128219.3	NP_001121691.1	ENST00000430365.7	296	FALSE
ZNF112	Q9UJU3	913	Q9UJU3	913	TRUE	NM_013380.4	NP_037512.3	ENST00000354340.9	907	FALSE
ADGRL1	O94910	1474	O94910	1474	TRUE	NM_014921.5	NP_055736.2	ENST00000361434.8	1469	FALSE
ASAH2B	P0C7U1	165	P0C7U1	165	TRUE	NM_001321958.2	NP_001308887.1	ENST00000647317.2	160	FALSE
ASH1L	Q9NR48	2969	Q9NR48	2969	TRUE	NM_018489.3	NP_060959.2	ENST00000392403.8	2964	FALSE
CBFB	Q13951	182	Q13951	182	TRUE	NM_022845.3	NP_074036.1	ENST00000412916.7	187	FALSE
CD244	Q9BZW8	370	Q9BZW8	370	TRUE	NM_016382.4	NP_057466.1	ENST00000368034.9	365	FALSE
DGLUCY	Q7Z3D6	616	Q7Z3D6	616	TRUE	NM_001102368.3	NP_001095838.1	ENST00000256324.15	621	FALSE
DMBX1	Q8NFW5	382	Q8NFW5	382	TRUE	NM_172225.2	NP_757379.1	ENST00000360032.4	377	FALSE
EZH2	Q15910	746	Q15910	746	TRUE	NM_004456.5	NP_004447.2	ENST00000320356.7	751	FALSE
HES7	Q9BYE0	225	Q9BYE0	225	TRUE	NM_001165967.2	NP_001159439.1	ENST00000541682.7	230	FALSE
INPP4A	Q96PE3	977	Q96PE3	977	TRUE	NM_001134225.2	NP_001127697.1	ENST00000409851.8	972	FALSE
KCNK10	P57789	538	P57789	538	TRUE	NM_138317.3	NP_612190.1	ENST00000319231.10	543	FALSE
KCNT1	Q5JUK3	1230	Q5JUK3	1230	TRUE	NM_020822.3	NP_065873.2	ENST00000371757.7	1235	FALSE
MPG	P29372	298	P29372	298	TRUE	NM_001015052.3	NP_001015052.1	ENST00000356432.8	293	FALSE
NOXO1	Q8NFA2	376	Q8NFA2	376	TRUE	NM_172167.3	NP_751907.1	ENST00000356120.9	371	FALSE
NRP2	O60462	931	O60462	931	TRUE	NM_003872.3	NP_003863.2	ENST00000357785.10	926	FALSE
OTUD5	Q96G74	571	Q96G74	571	TRUE	NM_001136157.2	NP_001129629.1	ENST00000376488.8	566	FALSE
PAPSS2	O95340	614	O95340	614	TRUE	NM_001015880.2	NP_001015880.1	ENST00000456849.2	619	FALSE
PAX3	P23760	479	P23760	479	TRUE	NM_181458.4	NP_852123.1	ENST00000392070.7	484	FALSE
SCARF2	Q96GP6	871	Q96GP6	871	TRUE	NM_182895.5	NP_878315.2	ENST00000622235.5	866	FALSE
SEMA4G	Q9NTN9	838	Q9NTN9	838	TRUE	NM_017893.4	NP_060363.2	ENST00000210633.4	843	FALSE
SMIM22	K7EJ46	83	K7EJ46	83	TRUE	NM_001253794.2	NP_001240723.1	ENST00000586005.6	88	FALSE
SPTAN1	Q13813	2472	Q13813	2472	TRUE	NM_001130438.3	NP_001123910.1	ENST00000372739.7	2477	FALSE
TCTN1	Q2MV58	587	Q2MV58	587	TRUE	NM_001082538.3	NP_001076007.1	ENST00000397659.9	592	FALSE
TNK1	Q13470	666	Q13470	666	TRUE	NM_003985.6	NP_003976.2	ENST00000688331.1	661	FALSE
TP53BP1	Q12888	1972	Q12888	1972	TRUE	NM_001141980.3	NP_001135452.1	ENST00000382044.9	1977	FALSE
USP50	Q70EL3	339	Q70EL3	339	TRUE	NM_203494.5	NP_987090.2	ENST00000532404.6	334	FALSE
UXS1	Q8NBZ7	420	Q8NBZ7	420	TRUE	NM_001253875.2	NP_001240804.1	ENST00000283148.12	425	FALSE
VWA5B1	Q5TIE3	1220	Q5TIE3	1220	TRUE	NM_001039500.3	NP_001034589.2	ENST00000289815.13	1215	FALSE
WDR62	O43379	1518	O43379	1518	TRUE	NM_001083961.2	NP_001077430.1	ENST00000401500.7	1523	FALSE
ZNF250	P15622	560	P15622	560	TRUE	NM_001109689.4	NP_001103159.1	ENST00000417550.7	555	FALSE
CXCL12	P48061	93	P48061	93	TRUE	NM_199168.4	NP_954637.1	ENST00000343575.11	89	FALSE
DMAC1	Q96GE9	116	Q96GE9	116	TRUE	NM_033428.3	NP_219500.1	ENST00000358227.5	112	FALSE
FERMT3	Q86UX7	667	Q86UX7	667	TRUE	NM_031471.6	NP_113659.3	ENST00000345728.10	663	FALSE
FRAS1	Q86XX4	4008	Q86XX4	4008	TRUE	NM_025074.7	NP_079350.5	ENST00000512123.4	4012	FALSE
GPS1	Q13098	491	Q13098	491	TRUE	NM_001321092.3	NP_001308021.1	ENST00000578552.6	487	FALSE
ILF3	Q12906	894	Q12906	894	TRUE	NM_017620.3	NP_060090.2	ENST00000588657.6	898	FALSE
KCNMB3	Q9NPA1	279	Q9NPA1	279	TRUE	NM_171830.2	NP_741981.1	ENST00000392685.7	275	FALSE
NFATC2	Q13469	925	Q13469	925	TRUE	NM_012340.5	NP_036472.2	ENST00000371564.8	921	FALSE
NHSL1	Q5SYE7	1610	Q5SYE7	1610	TRUE	NM_001144060.2	NP_001137532.1	ENST00000343505.10	1606	FALSE
NR1I3	Q14994	352	Q14994	352	TRUE	NM_005122.5	NP_005113.1	ENST00000367983.9	348	FALSE
PAN2	Q504Q3	1202	Q504Q3	1202	TRUE	NM_014871.6	NP_055686.4	ENST00000440411.8	1198	FALSE
RASSF1	Q9NS23	344	Q9NS23	344	TRUE	NM_007182.5	NP_009113.3	ENST00000359365.9	340	FALSE
RIPOR1	Q6ZS17	1223	Q6ZS17	1223	TRUE	NM_024519.4	NP_078795.2	ENST00000042381.9	1219	FALSE
SNX18	Q96RF0	628	Q96RF0	628	TRUE	NM_001102575.2	NP_001096045.1	ENST00000381410.5	624	FALSE
TCF4	P15884	667	P15884	667	TRUE	NM_001083962.2	NP_001077431.1	ENST00000354452.8	671	FALSE
TEAD2	Q15562	447	Q15562	447	TRUE	NM_001256660.2	NP_001243589.1	ENST00000593945.6	451	FALSE
TMIGD2	Q96BF3	282	Q96BF3	282	TRUE	NM_001169126.2	NP_001162597.1	ENST00000595645.6	278	FALSE
TPD52L3	Q96J77	140	Q96J77	140	TRUE	NM_001001874.3	NP_001001874.2	ENST00000314556.4	136	FALSE
APOL4	Q9BPW4	351	Q9BPW4	351	TRUE	NM_001386885.1	NP_001373814.1	ENST00000683024.1	348	FALSE
CDK11A	Q9UQ88	783	Q9UQ88	783	TRUE	NM_024011.4	NP_076916.2	ENST00000404249.8	780	FALSE
CENPV	Q7Z7K6	275	Q7Z7K6	275	TRUE	NM_181716.3	NP_859067.2	ENST00000299736.5	272	FALSE
CEP131	Q9UPN4	1083	Q9UPN4	1083	TRUE	NM_014984.4	NP_055799.2	ENST00000450824.7	1080	FALSE
CSF3	P09919	207	P09919	207	TRUE	NM_172219.3	NP_757373.1	ENST00000394149.8	204	FALSE
FZR1	Q9UM11	496	Q9UM11	496	TRUE	NM_016263.4	NP_057347.2	ENST00000441788.7	493	FALSE
GP2	P55259	537	P55259	537	TRUE	NM_001502.4	NP_001493.2	ENST00000302555.10	534	FALSE
KMT2A	Q03164	3969	Q03164	3969	TRUE	NM_001197104.2	NP_001184033.1	ENST00000534358.8	3972	FALSE
MACROH2A1	O75367	369	O75367	369	TRUE	NM_138610.3	NP_613258.2	ENST00000511689.6	372	FALSE
MATCAP2	Q8NCT3	520	Q8NCT3	520	TRUE	NM_001199706.2	NP_001186635.1	ENST00000440378.6	517	FALSE
MEF2B	Q02080	365	Q02080	365	TRUE	NM_001145785.2	NP_001139257.1	ENST00000424583.7	368	FALSE
PARD3	Q8TEW0	1356	Q8TEW0	1356	TRUE	NM_001184785.2	NP_001171714.1	ENST00000374788.8	1353	FALSE
PCBP2	Q15366	365	Q15366	365	TRUE	NM_031989.5	NP_114366.1	ENST00000546463.6	362	FALSE
PLEKHS1	Q5SXH7	465	Q5SXH7	465	TRUE	NM_001395068.1	NP_001381997.1	ENST00000694986.1	468	FALSE
PTCHD4	Q6ZW05	846	Q6ZW05	846	TRUE	NM_001384253.1	NP_001371182.1	ENST00000339488.9	843	FALSE
RPS24	P62847	133	P62847	133	TRUE	NM_033022.4	NP_148982.1	ENST00000372360.9	130	FALSE
SLC2A11	Q9BYW1	496	Q9BYW1	496	TRUE	NM_001024939.4	NP_001020110.1	ENST00000316185.9	499	FALSE
SPOCK3	Q9BQ16	436	Q9BQ16	436	TRUE	NM_001040159.2	NP_001035249.1	ENST00000357545.9	433	FALSE
TLE3	Q04726	772	Q04726	772	TRUE	NM_001105192.3	NP_001098662.1	ENST00000451782.7	769	FALSE
UBE3A	Q05086	875	Q05086	875	TRUE	NM_130839.5	NP_570854.1	ENST00000648336.2	872	FALSE
ANXA4	P09525	319	P09525	319	TRUE	NM_001153.5	NP_001144.1	ENST00000394295.6	321	FALSE
CHRDL1	Q9BU40	456	Q9BU40	456	TRUE	NM_001143981.2	NP_001137453.1	ENST00000372042.6	458	FALSE
EMID1	Q96A84	441	Q96A84	441	TRUE	NM_133455.4	NP_597712.2	ENST00000334018.11	443	FALSE
EVL	Q9UI08	416	Q9UI08	416	TRUE	NM_016337.3	NP_057421.1	ENST00000392920.8	418	FALSE
GARIN1B	Q96KD3	344	Q96KD3	344	TRUE	NM_001282788.3	NP_001269717.1	ENST00000621392.5	342	FALSE
IST1	P53990	364	P53990	364	TRUE	NM_001270975.2	NP_001257904.1	ENST00000378799.11	366	FALSE
MAPKAPK5	Q8IW41	473	Q8IW41	473	TRUE	NM_003668.4	NP_003659.2	ENST00000550735.7	471	FALSE
MCMBP	Q9BTE3	642	Q9BTE3	642	TRUE	NM_001256378.2	NP_001243307.1	ENST00000369077.4	640	FALSE
